City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
507,sambava,-14.2667,50.1667,23.35,90,43,3.39,MG,1675987262
508,chilca,-12.5211,-76.7372,22.65,90,53,1.93,PE,1675987263
509,machali,-34.1833,-70.6667,31.6,14,0,5.66,CL,1675987263
510,matagami,49.7502,-77.6328,-7.94,86,100,3.6,CA,1675987264
511,pitkyaranta,61.5734,31.4792,-1.49,92,100,8.74,RU,1675987264
512,krasnoselkup,65.7,82.4667,-21.08,99,82,4.65,RU,1675987265
513,nelson bay,-32.7167,152.15,28.38,65,8,0.99,AU,1675987265
514,madang,-5.2246,145.7966,27.05,78,100,3.96,PG,1675987266
515,boyabat,41.4689,34.7667,-2.34,86,63,1.42,TR,1675987268
516,bismil,37.8486,40.6658,-1.94,69,5,1.51,TR,1675987269
517,salalah,17.0151,54.0924,22.73,39,24,6.85,OM,1675987271
518,olavarria,-36.8927,-60.3225,26.96,32,0,3.48,AR,1675987272
519,sudak,44.85,34.9667,-1.34,76,51,4.23,UA,1675987273
520,riviere-au-renard,48.9957,-64.3971,-11.84,93,65,4.06,CA,1675987273
521,alugan,12.2188,125.4808,25.91,84,99,6.58,PH,1675987273
522,nishihara,26.1842,127.7558,22.6,83,75,9.77,JP,1675987274
523,umm lajj,25.0213,37.2685,20.52,39,100,6.19,SA,1675987275
524,the pas,53.8251,-101.2541,-9.99,57,0,5.66,CA,1675987218
525,opuwo,-18.0607,13.84,18.64,67,54,2.06,,1675987277
526,ponta do sol,32.6667,-17.1,15.0,74,51,5.33,PT,1675987278
527,paita,-5.0892,-81.1144,24.42,83,35,4.87,PE,1675987279
528,kolosovka,56.4678,73.611,-15.33,96,100,2.99,RU,1675987279
529,san ramon,37.7799,-121.978,20.1,51,0,3.09,US,1675987229
530,ulladulla,-35.35,150.4667,24.93,56,2,1.21,AU,1675987282
531,murgab,37.4966,61.9714,-1.07,86,100,4.12,TM,1675987284
532,codrington,-38.2667,141.9667,22.78,50,27,4.96,AU,1675987285
533,mareeba,-17.0,145.4333,25.82,92,100,0.87,AU,1675987285
534,khairagarh,26.95,77.8167,15.29,40,0,1.85,IN,1675987285
535,denia,38.8408,0.1057,11.37,73,23,2.68,ES,1675987286
536,pathein,16.7833,94.7333,19.55,81,100,3.15,MM,1675987286
537,yala,6.3333,101.25,21.66,96,62,1.14,TH,1675987286
538,sawtell,-30.3833,153.1,22.01,83,41,3.09,AU,1675987287
539,zabid,14.1951,43.3152,24.34,77,6,0.9,YE,1675987287
540,blythe,33.6103,-114.5964,20.57,12,0,7.7,US,1675987289
541,budaun,28.05,79.1167,14.07,50,0,1.84,IN,1675987289
542,birao,10.2849,22.7882,18.8,14,75,2.62,CF,1675987289
543,santa isabel do rio negro,-0.4139,-65.0192,23.52,97,62,0.96,BR,1675987290
544,hameenlinna,60.996,24.4643,1.19,94,100,5.88,FI,1675987291
545,emba,48.8264,58.1442,-20.01,100,27,1.4,KZ,1675987292
546,poplar bluff,36.757,-90.3929,9.54,68,84,2.93,US,1675987292
547,ilabaya,-17.4208,-70.5133,20.39,81,63,1.42,PE,1675987293
548,usinsk,65.9939,57.5281,-1.6,96,100,9.18,RU,1675987293
549,ahipara,-35.1667,173.1667,21.65,49,67,2.47,NZ,1675987295
550,gotsu,35.0,132.2167,4.7,85,100,2.16,JP,1675987295
551,rusape,-18.5278,32.1284,17.02,93,81,1.74,ZW,1675987296
552,aswan,24.0934,32.907,14.61,33,0,5.14,EG,1675987296
553,dali,25.7,100.1833,3.14,76,0,2.0,CN,1675987296
554,burhanpur,21.3,76.2333,20.06,25,18,1.33,IN,1675987297
